iter	RMSE
0	1473.962084
1	1445.774961
2	1418.177911
3	1392.423876
4	1368.282428
5	1346.42763
6	1329.533239
7	1309.65321
8	1289.992204
9	1271.710055
10	1256.398732
11	1241.134153
12	1228.941651
13	1215.045089
14	1202.461447
15	1191.442974
16	1181.965507
17	1171.891232
18	1162.09325
19	1153.889454
20	1146.073409
21	1136.544095
22	1129.772076
23	1121.25248
24	1115.034588
25	1108.383784
26	1100.599519
27	1094.133417
28	1086.83709
29	1080.765993
30	1075.015441
31	1070.210507
32	1065.171409
33	1060.705663
34	1056.07472
35	1051.447009
36	1048.056853
37	1044.669978
38	1040.709661
39	1037.291389
40	1033.873946
41	1029.741308
42	1027.290915
43	1024.471627
44	1021.341381
45	1018.255795
46	1014.8536
47	1012.371983
48	1009.288294
49	1006.717833
50	1003.702118
51	1001.138183
52	998.6215527
53	995.8302184
54	993.0621208
55	990.4888492
56	988.0498153
57	985.8686442
58	983.3678072
59	981.1247502
60	978.6779553
61	976.7356365
62	974.7364264
63	972.4809065
64	970.2942737
65	968.5491538
66	966.8982751
67	965.3017905
68	963.4618914
69	960.4454845
70	959.0248131
71	957.1696547
72	955.3929439
73	954.0480694
74	951.5299649
75	949.7750013
76	948.8787333
77	946.9401422
78	944.9996237
79	943.0135334
80	940.8159865
81	939.2226673
82	937.7304531
83	934.7482341
84	933.1776439
85	930.1036957
86	928.3967427
87	926.5890402
88	925.0798734
89	924.0930672
90	922.8442068
91	921.0259052
92	919.9812308
93	918.9225293
94	918.032719
95	916.0778464
96	914.6509251
97	913.389416
98	911.6906508
99	910.859159
100	909.4051011
101	907.9403119
102	906.6695806
103	905.1373068
104	902.9011127
105	900.8514977
106	900.2543523
107	898.6191387
108	897.0191034
109	896.009704
110	895.1035567
111	894.2338239
112	892.8987051
113	891.8967974
114	891.2818201
115	889.6171859
116	888.7383311
117	887.7065262
118	886.6431623
119	885.3210257
120	883.9675649
121	882.5002725
122	881.2128469
123	880.2477158
124	878.6686611
125	876.9438173
126	875.350817
127	874.2819638
128	872.6971695
129	871.556099
130	870.861324
131	870.0024626
132	869.1117611
133	867.8843668
134	866.5223289
135	865.6957388
136	865.0437354
137	864.2250973
138	863.5427814
139	862.1953551
140	860.677768
141	859.9051379
142	858.9250407
143	856.2230097
144	855.1228969
145	853.4235579
146	852.5881769
147	852.2284648
148	850.5663064
149	849.7791413
150	848.4817549
151	847.1388813
152	846.1759717
153	845.5521965
154	844.6211919
155	843.6883231
156	842.6172732
157	841.98748
158	841.4733383
159	840.1549376
160	839.0974423
161	838.0503891
162	836.4776039
163	835.6600359
164	834.0484233
165	832.82921
166	831.3003873
167	830.5926495
168	829.964335
169	829.3953136
170	828.6078101
171	826.8841909
172	825.8764978
173	824.0873494
174	822.7814512
175	821.3768026
176	820.1257243
177	819.6511645
178	818.662448
179	817.4239285
180	816.0956212
181	815.4352437
182	814.6727822
183	813.7664979
184	812.6638216
185	811.5041767
186	810.4031485
187	808.9398032
188	807.9480929
189	806.9138829
190	806.1727278
191	805.1430306
192	804.0211555
193	803.6200922
194	802.7103241
195	801.4193427
196	800.5478111
197	799.4929649
198	798.7059021
199	797.0490655
200	796.4920817
201	795.5579702
202	795.0239452
203	794.3583349
204	793.6056231
205	792.4200791
206	791.7816945
207	790.5562786
208	789.8762267
209	789.079691
210	788.3628948
211	787.3715522
212	786.5229566
213	785.9023377
214	784.7703801
215	783.8314184
216	783.0639712
217	782.6926356
218	781.6834765
219	781.0264017
220	780.206281
221	779.5297422
222	778.5833886
223	777.9436673
224	777.1581646
225	776.6258271
226	775.6870915
227	774.3289708
228	773.7530841
229	772.4731113
230	771.5798084
231	770.8864072
232	770.2349501
233	769.6825903
234	768.4650094
235	768.0082069
236	767.082262
237	766.5894441
238	766.1570341
239	765.323189
240	764.6117689
241	763.9199501
242	762.6592524
243	761.226263
244	760.2386845
245	759.1793033
246	758.8312946
247	758.0762544
248	757.2537305
249	756.3303198
250	754.8287961
251	754.2565898
252	753.5169174
253	752.8425494
254	752.0426531
255	751.2866013
256	750.4088192
257	749.6648864
258	748.624664
259	748.0240727
260	747.5343839
261	747.0711258
262	746.4593697
263	745.4254247
264	743.8420171
265	743.2848857
266	742.6104223
267	741.6509433
268	741.0308839
269	740.046451
270	739.5210085
271	738.965929
272	738.3796751
273	737.6878987
274	736.9337178
275	736.490985
276	735.653379
277	734.8729147
278	734.2266695
279	733.0563287
280	732.2729684
281	731.9391914
282	731.2938756
283	730.8112219
284	730.2983541
285	729.8298574
286	729.066239
287	728.3768944
288	727.8804979
289	727.126083
290	726.8297657
291	726.2456459
292	724.8718339
293	724.2286155
294	723.8286176
295	722.2929413
296	721.2677062
297	720.2803172
298	719.5104655
299	719.2497334
300	718.6466836
301	717.8941746
302	716.8476788
303	716.0308751
304	715.6396267
305	714.8684587
306	713.766775
307	713.2131936
308	712.5679712
309	711.6345954
310	710.6419448
311	710.1493996
312	709.5928266
313	709.1988937
314	708.1474307
315	707.2728244
316	706.2333114
317	705.8152513
318	705.4606319
319	705.0662849
320	704.7230486
321	703.9858922
322	703.4858484
323	702.3837086
324	701.3692603
325	700.7361217
326	699.9525957
327	699.1097782
328	698.3975087
