iter	Passed	Remaining
0	1	775
1	2	688
2	4	707
3	5	692
4	6	667
5	7	656
6	9	644
7	10	664
8	12	671
9	13	668
10	14	659
11	16	655
12	17	647
13	18	650
14	20	654
15	21	650
16	22	644
17	23	640
18	25	635
19	26	635
20	27	638
21	29	637
22	30	633
23	31	628
24	32	625
25	34	625
26	35	624
27	37	624
28	38	621
29	39	618
30	40	615
31	42	617
32	43	617
33	45	619
34	46	616
35	47	615
36	49	613
37	50	610
38	51	611
39	53	611
40	54	611
41	55	608
42	57	608
43	58	607
44	60	608
45	61	608
46	62	607
47	64	605
48	65	606
49	67	603
50	68	602
51	69	601
52	71	600
53	72	600
54	73	598
55	75	598
56	77	600
57	78	599
58	80	599
59	81	598
60	82	596
61	84	597
62	86	597
63	87	597
64	89	598
65	90	597
66	92	597
67	93	596
68	95	595
69	96	594
70	98	593
71	99	591
72	101	591
73	102	590
74	104	589
75	105	588
76	106	586
77	108	585
78	109	584
79	111	583
80	112	582
81	113	581
82	115	579
83	117	579
84	118	578
85	120	578
86	121	576
87	122	575
88	124	573
89	125	573
90	127	572
91	128	570
92	129	568
93	131	567
94	132	565
95	134	564
96	135	564
97	137	562
98	138	561
99	139	559
100	141	558
101	143	558
102	144	556
103	145	554
104	147	553
105	148	551
106	150	550
107	151	551
108	153	549
109	154	548
110	155	546
111	157	544
112	158	544
113	160	542
114	161	541
115	163	539
116	164	538
117	165	536
118	167	536
119	168	534
120	170	533
121	171	531
122	173	530
123	174	529
124	176	528
125	177	527
126	179	526
127	180	524
128	182	525
129	183	523
130	185	522
131	187	521
132	188	520
133	190	519
134	191	518
135	192	516
136	194	514
137	195	513
138	196	511
139	198	510
140	200	509
141	201	507
142	202	506
143	204	505
144	205	504
145	207	503
146	209	502
147	210	500
148	211	498
149	213	497
150	214	496
151	216	495
152	217	494
153	219	492
154	220	491
155	222	490
156	224	490
157	225	489
158	227	487
159	228	486
160	230	485
161	232	484
162	233	483
163	235	482
164	236	480
165	238	479
166	240	478
167	241	477
168	243	476
169	245	475
170	246	474
171	248	473
172	249	472
173	251	470
174	252	469
175	254	468
176	255	467
177	257	465
178	258	463
179	260	462
180	261	461
181	262	459
182	264	458
183	266	457
184	267	455
185	269	454
186	270	453
187	272	452
188	273	450
189	275	449
190	276	447
191	278	446
192	279	444
193	281	443
194	282	442
195	284	440
196	285	439
197	287	438
198	289	437
199	291	436
200	292	435
201	294	434
202	295	432
203	297	431
204	298	430
205	300	429
206	302	427
207	303	426
208	305	425
209	306	423
210	308	422
211	310	421
212	311	419
213	313	418
214	315	417
215	316	416
216	318	415
217	319	413
218	321	412
219	322	410
220	324	409
221	326	408
222	327	406
223	329	405
224	330	404
225	332	402
226	333	401
227	334	399
228	336	398
229	338	397
230	340	395
231	341	394
232	342	392
233	344	391
234	345	390
235	347	389
236	349	387
237	350	386
238	352	384
239	353	383
240	355	381
241	356	380
242	357	378
243	359	377
244	360	375
245	362	374
246	364	372
247	365	371
248	366	369
249	368	368
250	369	366
251	371	365
252	373	364
253	374	362
254	375	361
255	377	359
256	379	358
257	380	357
258	382	355
259	383	353
260	384	352
261	386	351
262	388	349
263	389	348
264	391	346
265	392	345
266	394	344
267	396	342
268	397	341
269	399	339
270	400	338
271	402	337
272	403	335
273	405	334
274	406	332
275	407	331
276	409	329
277	411	328
278	412	326
279	414	325
280	415	324
281	417	322
282	419	321
283	421	320
284	422	318
285	424	317
286	425	316
287	427	314
288	429	313
289	430	311
290	432	310
291	434	309
292	435	307
293	437	306
294	438	304
295	440	303
296	442	302
297	444	301
298	445	299
299	447	298
300	448	296
301	450	295
302	452	293
303	453	292
304	455	291
305	456	289
306	458	288
307	460	286
308	464	287
309	467	286
310	472	287
311	476	286
312	485	290
313	521	309
314	526	309
315	527	307
316	529	305
317	531	304
318	532	302
319	534	300
320	535	298
321	543	300
322	548	300
323	550	299
324	552	297
325	553	295
326	555	294
327	557	292
328	559	290
329	560	288
330	562	287
331	563	285
332	565	283
333	566	281
334	568	279
335	570	278
336	571	276
337	573	274
